"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Kachin","Myitkyina","AREA # 010151","Hsinbo(ST)","MMR001001","Myitkyina","Hsinbo(ST)",9,0,1,0,1,0,0,0,1,1,1,0,1,2,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,2,1,0,0,0,1,1,2,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"2","Kachin","Myitkyina","AREA # 010101","Myitkyina","MMR001001","Myitkyina","Myitkyina",18,10,7,3,10,6,11,5,6,8,9,3,3,7,3,9,7,4,5,4,8,2,7,9,0,9,2,10,5,5,8,3,10,4,4,5,4,6,6,5,14,3,15,10,5,6,4,5,8,4,15,1,10,6,7,13,11,10,11,5,21,5,8,14,6,14,5,6,12,3,12,1,9,16,6,7,6,7,14,2,15,0,4,8,10,6,7,2,3,6,33
"3","Kachin","Myitkyina","AREA # 010152","Hsadone(ST)","MMR001002","Waingmaw","Hsadone(ST)",11,4,2,0,2,0,1,0,0,0,1,0,1,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,1,0,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","Kachin","Myitkyina","AREA # 010153","Kanpaikti(ST)","MMR001002","Waingmaw","Kanpaikti(ST)",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,3,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,1,1,2,2,1,0,1,0,1,0,0,1,0,0,3,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"5","Kachin","Myitkyina","AREA # 010102","Waingmaw","MMR001002","Waingmaw","Waingmaw",22,2,4,6,1,4,5,1,9,2,2,6,2,6,4,3,2,5,6,5,5,4,4,4,3,0,4,6,4,5,4,2,4,2,2,5,2,3,2,1,9,5,2,5,6,4,4,2,5,2,4,1,3,2,2,4,4,6,3,4,9,2,5,6,6,2,2,5,4,0,9,2,5,7,0,4,2,3,5,4,6,2,2,1,1,5,5,2,1,0,11
"6","Kachin","Myitkyina","AREA # 010103","Ingyanyan","MMR001003","Injangyang","Ingyanyan",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Kachin","Myitkyina","AREA # 010154","Shinbwayyan(ST)","MMR001004","Tanai","Shinbwayyan(ST)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Kachin","Myitkyina","AREA # 010104","Tanaing","MMR001004","Tanai","Tanaing",0,0,0,1,1,0,0,1,0,2,1,1,1,0,1,1,0,1,0,1,0,0,3,0,0,2,0,3,1,2,0,1,1,0,2,3,0,1,2,1,4,0,1,0,1,2,0,4,1,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"9","Kachin","Myitkyina","AREA # 010105","Chiphwe","MMR001005","Chipwi","Chiphwe",0,1,0,0,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
"10","Kachin","Myitkyina","AREA # 010155","Panwa(ST)","MMR001005","Chipwi","Panwa(ST)",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,3,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2
